#, Field, JSON field name, Field type, Field size in bytes, Comment
":math:`7.6.[2 × N + 1]`", "Argument N", "value", "Options are: 1) :ref:`Long <02_decentralchain/09_protocol:Blockchain Data Types>`. 2) Array[:ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`]. 3) :ref:`String <02_decentralchain/09_protocol:Blockchain Data Types>`. 4) Logical True. 5) Logical False. 6) List.", "S", ":math:`S = 8`, if argument type is long. If the argument type is an array of bytes, string, or list, the field size is limited only by the total transaction size. If the type is list, then 1) its length must not exceed :math:`1000` elements. 2) amount of its elements represents first :math:`4` bytes of the current field. 3) each list element is serialized similarly to the function argument: the element type ID takes first place followed by the element's value. :math:`S = 0`, if argument type is logical True or False."
":math:`8.1`", "Amount of payments", " ", :ref:`Short<02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`2`", " "
":math:`8.2`", "Payment 1 length", " ", :ref:`Short<02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`2`", " "
":math:`8.3`", "Amount of token in payment 1", "amount", ":ref:`Long <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`8`", " "
":math:`8.4`", "Flag of payment 1 token", " ", ":ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`1`", ":math:`0` — :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`. :math:`1` — other token."
":math:`8.5`", "ID of payment 1 token", " ", "Array[:ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`]", ":math:`32`", "Field is applicable if the token is not :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`."
"...", "...", "...", "...", "...", "..."
":math:`8.[4 × N – 2]`", "Payment N length", " ", :ref:`Short<02_decentralchain/09_protocol:Blockchain Data Types>`, ":math:`2`", " "
":math:`8.[4 × N – 1]`", "Amount of token in payment N", "amount", ":ref:`Long <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`8`", " "
":math:`8.[4 × N]`", "Flag of payment N token", " ", ":ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`1`", ":math:`0` — :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`. :math:`1` — other token."
":math:`8.[4 × N + 1]`", "ID of payment N token", " ", "Array[:ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`]", ":math:`32`", "Field is applicable if the token is not :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`."
":math:`9`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`", "fee", ":ref:`Long <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`8`", " "
":math:`10.1`", "Flag of fee token", " ", ":ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`1`", ":math:`0` — :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`. :math:`1` — other token."
":math:`10.2`", "Fee token ID", "feeAssetId", "Array[:ref:`Byte <02_decentralchain/09_protocol:Blockchain Data Types>`]", "S", ":math:`S = 0`, if token is :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`. :math:`S = 32`, if it is other token."
":math:`11`", "Transaction timestamp", "timestamp", ":ref:`Long <02_decentralchain/09_protocol:Blockchain Data Types>`", ":math:`8`", " "
":math:`12`", "Transaction proofs", "proofs", "See :ref:`transaction proofs binary format <02_decentralchain/10_binary-format:Transaction Proofs Binary Format>`", "S", "If the array is empty, then :math:`S = 3`. If the array is not empty, then :math:`S = 3 + 2 × N + 64 × N`, where :math:`N` is the number of proofs in the array. The maximum number of proofs in the array is :math:`8`. The size of each proof is :math:`64` bytes."
